,g_id_right,popTot,id,avg,lamb
349,382.0,3240,352,4.524204702627939,0.2210333231427698
350,383.0,1653,347,4.311838624338624,0.23191962573817013
351,384.0,477,122,11.554211469534051,0.08654852844235914
352,385.0,19,7,178.025,0.005617188597107148
353,386.0,131,66,21.959183673469386,0.04553903345724907
354,387.0,20,6,178.74166666666667,0.005594666418014826
356,389.0,117,7,173.8125,0.005753326141675656
359,392.0,2,6,98.45833333333334,0.010156580617858653
360,393.0,53,17,89.56249999999999,0.011165387299371948
362,395.0,278,86,15.958974358974361,0.06266066838046272
363,396.0,717,82,18.6867816091954,0.05351376287867139
366,399.0,56,10,93.38194444444446,0.010708708262065887
368,402.0,55,17,107.55833333333332,0.00929728054544046
369,403.0,290,31,43.932291666666664,0.02276229994072318
370,404.0,1717,181,7.755357142857143,0.12894312687082662
376,410.0,45,8,142.39583333333334,0.007022677395757132
379,414.0,69,8,156.30208333333334,0.00639786737754082
382,417.0,14,14,136.67261904761907,0.007316754496755367
385,420.0,28,9,63.22222222222223,0.01581722319859402
387,422.0,64,7,148.375,0.006739679865206402
389,425.0,141,24,74.17559523809523,0.013481523091120653
391,428.0,180,60,26.16260162601626,0.0382224984462399
392,429.0,134,39,39.36217948717949,0.02540509730477974
393,430.0,1121,131,10.893939393939394,0.09179415855354658
394,431.0,2590,546,2.852471566054243,0.35057317026415674
395,432.0,616,120,15.141203703703702,0.0660449472557713
397,434.0,26,11,94.43518518518519,0.010589273458182174
398,435.0,13,25,54.013888888888886,0.01851375674980715
399,436.0,3606,580,2.67014742014742,0.3745111571198528
400,437.0,3470,2661,0.6002367424242425,1.666009308195945
401,438.0,2424,463,2.9806014692378326,0.3355027534948204
402,439.0,4544,1424,1.0297904670505438,0.9710713314953598
403,440.0,3817,697,2.113872644574399,0.47306539614231924
404,441.0,2195,415,3.66273849607183,0.27301976405699396
405,442.0,1910,254,6.087523277467411,0.16427041908840626
406,443.0,473,33,43.20166666666666,0.023147255121330198
410,447.0,12,40,47.17028985507247,0.021199784929718104
412,449.0,117,31,47.13825757575757,0.02121419100807586
413,450.0,25,10,146.86111111111111,0.006809154529979194
414,451.0,9,9,234.16666666666666,0.004270462633451958
415,452.0,35,11,106.7875,0.009364391899801008
417,454.0,8,8,123.975,0.008066142367412786
418,455.0,461,58,20.255681818181824,0.0493688639551192
419,456.0,239,34,46.7171052631579,0.021405435854105054
420,457.0,33,6,207.20833333333334,0.004826060727930826
424,461.0,24,8,159.27083333333334,0.006278613472858077
426,463.0,105,24,103.47916666666666,0.00966378095429837
428,466.0,159,17,74.9551282051282,0.013341315316856239
431,470.0,26,12,143.99404761904762,0.006944731511719235
432,471.0,44,6,167.7,0.005963029218843173
433,472.0,7,7,329.6944444444445,0.003033111466846406
434,473.0,117,27,53.8311403508772,0.018576608139487513
436,475.0,87,16,71.17307692307692,0.01405025668738179
437,476.0,191,57,28.89414414414415,0.034609088783225495
438,477.0,88,36,37.310344827586206,0.026802218114602587
439,478.0,143,26,51.583333333333336,0.01938610662358643
440,479.0,195,73,20.888621794871792,0.047872952549004574
441,480.0,150,39,39.23765432098766,0.025485723275387395
442,481.0,247,37,37.18827160493827,0.0268901983567101
443,482.0,1230,244,6.063780260707635,0.16491362763915546
444,483.0,1546,172,9.501106194690266,0.10525090231691699
445,484.0,372,46,33.27916666666666,0.03004882934769
